#"name, chrom, strand, txStart, txEnd, cdsStart, cdsEnd, exonCount, exonStarts, exonEnds, alternateName, cdsStartStat, cdsEndStat, exonFrames"														
#	"chrom"	"strand"	"txStart"	"txEnd"	"cdsStart"	"cdsEnd"	"exonCount"	"exonStarts"	"exonEnds"		"altName"	"cdsStartStat"	"cdsEndStat"	"exonframes"
"NR_024077"	"chr1"	"-"	4268	14754	14754	14754	10	"4268,4832,5658,6469,6719,7095,7468,7777,8130,14600,"	"4692,4901,5810,6631,6918,7231,7605,7924,8242,14754,"	0	"WASH2P"	"unk"	"unk"	"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"NM_001005484"	"chr1"	"+"	58953	59871	58953	59871	1	58953	59871	0	"OR4F5"	"cmpl"	"cmpl"	0
"NM_001005224"	"chr1"	"+"	357521	358460	357521	358460	1	357521	358460	0	"OR4F3"	"cmpl"	"cmpl"	0
"NM_001005277"	"chr1"	"+"	357521	358460	357521	358460	1	357521	358460	0	"OR4F16"	"cmpl"	"cmpl"	0
"NM_001005221"	"chr1"	"+"	357521	358460	357521	358460	1	357521	358460	0	"OR4F29"	"cmpl"	"cmpl"	0
"NM_001005224"	"chr1"	"-"	610958	611897	610958	611897	1	610958	611897	0	"OR4F3"	"cmpl"	"cmpl"	0
"NM_001005277"	"chr1"	"-"	610958	611897	610958	611897	1	610958	611897	0	"OR4F16"	"cmpl"	"cmpl"	0
"NM_001005221"	"chr1"	"-"	610958	611897	610958	611897	1	610958	611897	0	"OR4F29"	"cmpl"	"cmpl"	0
"NR_015368"	"chr1"	"+"	752926	779603	779603	779603	7	"752926,754245,772896,777169,777913,778633,778819,"	"753018,754347,773049,777353,778009,778765,779603,"	0	"LOC643837"	"unk"	"unk"	"-1,-1,-1,-1,-1,-1,-1,"
"NM_152486"	"chr1"	"+"	850983	869824	851184	869396	14	"850983,851164,855397,856281,861014,864282,864517,866386,867378,867652,867801,868495,868940,869150,"	"851043,851256,855579,856332,861139,864372,864703,866549,867494,867731,868301,868620,869051,869824,"	0	"SAMD11"	"cmpl"	"cmpl"	"-1,0,0,2,2,1,1,1,2,1,2,1,0,0,"
"NM_015658"	"chr1"	"-"	869445	884542	869936	884483	19	"869445,870299,870760,871415,871644,873373,873732,876369,877242,877654,878417,879024,879246,881165,881337,882136,882341,884171,884457,"	"870043,870389,870896,871529,871788,873475,873846,876481,877382,877843,878531,879135,879325,881256,881458,882268,882516,884324,884542,"	0	"NOC2L"	"cmpl"	"cmpl"	"1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,2,0,"
"NM_198317"	"chr1"	"+"	885829	890958	885936	890434	12	"885829,886535,886871,887068,887597,887946,888351,888579,889162,889349,889591,890205,"	"886043,886795,886993,887290,887714,888160,888496,888747,889251,889423,889773,890958,"	0	"KLHL17"	"cmpl"	"cmpl"	"0,2,1,0,0,0,1,2,2,1,0,2,"
"NM_032129"	"chr1"	"+"	891739	900347	891774	899818	16	"891739,891946,895519,895763,895928,896121,896355,896566,897317,897530,898103,898428,898742,899075,899558,899684,"	"891857,892046,895666,895844,896001,896249,896451,896647,897393,897667,898253,898569,898883,899294,899607,900347,"	0	"PLEKHN1"	"cmpl"	"cmpl"	"0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"
"NM_021170"	"chr1"	"-"	924206	925333	924301	925216	4	"924206,924768,924934,925108,"	"924675,924856,925030,925333,"	0	"HES4"	"cmpl"	"cmpl"	"1,0,0,0,"
"NM_005101"	"chr1"	"+"	938709	939782	938816	939721	2	"938709,939226,"	"938819,939782,"	0	"ISG15"	"cmpl"	"cmpl"	"0,0,"
